"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"9021",224.623390457838,4.03753387972683,0.19835130865873,20.3554688246274,4.15259316363607e-92,1.43301837483917e-87
"55086",60.2287686908415,1.10755861452921,0.0584509333603903,18.9485188833572,4.54187697384797e-80,7.83678162452598e-76
"221061",128.372334802956,-1.06286845209959,0.0578418757014925,-18.3754146837283,2.06721983232571e-75,2.37792297312427e-71
"7538",1464.18636359278,2.96144117076706,0.164375546505774,18.0163122418153,1.45099119416719e-72,1.25180637798789e-68
"23136",143.330110816994,1.22406394188512,0.0713394853329099,17.1582951036576,5.4489848791792e-66,3.7607803839119e-62
"51339",57.2100232402903,1.32342688369685,0.078607450947763,16.8358961871987,1.33156987750581e-63,7.65852415047469e-60
"1026",285.05126760123,2.45701716168974,0.149391968342458,16.4467821727699,8.84439753998405e-61,4.36016163867585e-57
"10655",106.464684810636,-1.50781314365926,0.0919522792081909,-16.3977788983935,1.98358707901747e-60,8.55645081372672e-57
"3726",709.309455250306,3.25569513905968,0.198828845038095,16.3743602616406,2.91556900666722e-60,1.11792634278977e-56
"677832",30.7894819530636,3.91210143695031,0.241214595649558,16.2183446089386,3.74143383466746e-59,1.1737558200049e-55
"1958",908.510305601718,3.24457414034156,0.203530199269349,15.9414875629721,3.26488355424266e-57,9.38898888111332e-54
"56098",24.9243244348736,1.0544143358541,0.0664040411039434,15.8787675919242,8.89081245779599e-57,2.36010036235447e-53
"4616",209.261012364017,2.64664178292267,0.169078424855794,15.6533382965922,3.15240069129181e-55,7.77044253255637e-52
"109864281",134.554939889899,-4.25249458587782,0.276157875400044,-15.3987807869597,1.66784389434937e-53,3.38562499706485e-50
"340156",743.729978388868,-1.2586473941686,0.0830551076118696,-15.1543647387765,7.08976095752121e-52,1.28768716254263e-48
"105378473",76.9869682217429,1.37998563376432,0.0918434343752182,15.0254140990254,5.00476027043211e-51,8.63546360861709e-48
"4985",27.9119655720628,-2.22844082948824,0.150234974111079,-14.8330363330752,8.95872976412463e-50,1.4052582065008e-46
"7057",140.549564513562,2.2712943623683,0.154023668309744,14.7463983119835,3.2452773825432e-49,4.8691859649645e-46
"339906",162.492002543268,1.8233178764358,0.12437604546767,14.6597189963701,1.16755149406635e-48,1.54965517341292e-45
"4609",157.072435293328,2.10035139203655,0.144168998876315,14.568675709807,4.44422792294322e-48,5.68021708862399e-45
"2353",568.264464495213,2.9085465459534,0.200905292268546,14.4772022335061,1.68830487444096e-47,2.08077546114582e-44
"26074",320.671783745989,1.20789747435598,0.0835766446528016,14.4525719999157,2.41496646615774e-47,2.87372682002198e-44
"100130705",57.1544181082634,2.02888173737118,0.142967603854494,14.1911991435213,1.03867303194673e-45,1.15624411804677e-42
"387763",128.289946949219,2.56016854405156,0.181154190400694,14.1325383552472,2.39358492105606e-45,2.58125693877261e-42
"105376749",3.89988004269571,1.0137796391942,0.0720357858345451,14.0732779888415,5.54389037038254e-45,5.79739735731912e-42
"9098",1013.2498362088,1.32051465952482,0.0946535241890546,13.9510353242349,3.10071326879885e-44,3.05721469122799e-41
"100008587",76.9269978981682,-4.08783180145893,0.293129129966206,-13.9454983608426,3.35099125539846e-44,3.21220436757071e-41
"106614088",14.0682804821256,1.61545923924948,0.116111452901525,13.91300512465,5.28129827100612e-44,4.92573843335541e-41
"56109",34.8711520549999,1.04239633244289,0.0756443244932585,13.780231886872,3.35193785733144e-43,2.89180058796627e-40
"3383",147.110864480962,1.80925304076829,0.131718597280916,13.7357448235628,6.20150120022872e-43,5.21969768094373e-40
"1288",48.2044868878901,1.00023455939384,0.073328610136014,13.640440716639,2.30165383987023e-42,1.80517664454731e-39
"2354",37.3997928026708,3.08024200119998,0.225915810125089,13.6344685194651,2.49804101774973e-42,1.91566438847835e-39
"26025",38.0552261004463,1.16162582835152,0.0857534176209748,13.5461170012586,8.35334754860145e-42,6.26664501205842e-39
"7139",46.5752177816214,1.85494804658091,0.137720100073452,13.4689710913047,2.38161641922079e-41,1.6437440202178e-38
"8013",604.993357560256,3.01695481085317,0.224347884605872,13.4476632848724,3.17755765561039e-41,2.15008504191096e-38
"23764",93.1651744858126,2.39992163225694,0.178992992914386,13.4079082827832,5.43502005016862e-41,3.60686744060132e-38
"6347",48.9331780590474,2.10624633503369,0.157876064479177,13.3411378221396,1.33407642204666e-40,8.52548949044594e-38
"8641",36.101861851302,1.06611301743538,0.0801357300743433,13.3038410762131,2.19876003230765e-40,1.37958199918009e-37
"602",140.067402082833,1.9706714333417,0.148426808697188,13.2770585761374,3.14507590732499e-40,1.87126593941169e-37
"3493",39.5215031981968,2.16285988356383,0.163861707102139,13.199300323508,8.85537246871961e-40,5.17949234784822e-37
"100302143",5.222805966997,3.49537836814257,0.265268505556959,13.1767559846717,1.19416232440632e-39,6.86822460882296e-37
"105376843",15.2895028475368,2.11263978315701,0.160672048369754,13.1487698364012,1.729655555837e-39,9.78503009448836e-37
"1815",10.1338159159782,1.69482983989374,0.12964881376478,13.0724670028115,4.73060800789855e-39,2.59124685308843e-36
"108783646",1.92393252942308,2.94985808770274,0.226991178513982,12.9954745687222,1.29800085370616e-38,6.78677446371909e-36
"56105",39.4851439173486,1.19651062131648,0.0921794182680198,12.9802361936969,1.5839137643834e-38,8.15810150673233e-36
"105372298",2.44188395324324,3.06972324571855,0.237784693489393,12.9096755584711,3.96970107837387e-38,1.98536832628411e-35
"8651",7.18641829586878,2.30713692981176,0.179848225694971,12.8282440424225,1.13916799697728e-37,5.53683780389983e-35
"64409",30.2831350039157,1.57971704679159,0.123701197891838,12.7704264284721,2.39836894135922e-37,1.11845018645088e-34
"56107",33.8272127144286,1.00576217275563,0.0789669773504704,12.7364907015735,3.70697408771347e-37,1.68321011569611e-34
